#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
1	48	0	0	-nan	inf	-nan
2	48	0	7.34375	0	0.0416667	0
3	48	0	3.61607	0	0.03125	0
4	48	0	2.85313	0	0.028125	0
5	48	0	3.19531	0	0.0214844	0
6	48	0	2.85855	0	0.0246711	0
7	48	0	2.61506	0	0.0241477	0
8	48	0	2.4225	0	0.025	0
9	48	0	2.18427	0	0.0237069	0
10	48	0	2.08008	0	0.0244141	0
11	48	0	1.99286	0	0.025	0
12	48	0	1.92023	0	0.0246711	0
13	48	0	1.85823	0	0.0251524	0
14	48	0	1.80398	0	0.024858	0
15	48	0	1.75731	0	0.025266	0
16	48	0	1.71625	0	0.025625	0
17	48	0	1.73526	0	0.0259434	0
18	48	0	1.66941	0	0.0252193	0
19	48	0	1.63958	0	0.0255208	0
20	48	0	1.61359	0	0.0252976	0
21	48	0	1.58854	0	0.0250947	0
22	48	0	1.56567	0	0.0253623	0
23	48	0	1.54514	0	0.0256076	0
24	48	0	1.52625	0	0.0254167	0
25	48	0	1.48932	0	0.025712	0
26	48	0	1.47409	0	0.0255335	0
27	48	0	1.46875	0	0.0257353	0
28	48	0	1.45526	0	0.0255682	0
29	48	0	1.44265	0	0.0257555	0
30	48	0	1.46011	0	0.0259309	0
31	48	0	1.44813	0	0.0257732	0
32	48	0	1.43687	0	0.0259375	0
33	48	0	1.85012	0	0.026699	0
34	48	0	3.31221	0	0.0271612	0
35	48	0	4.67642	0	0.0272727	0
36	48	0	5.81412	0	0.0266703	0
37	48	0	7.01497	0	0.0267857	0
38	48	0	7.5146	0	0.0268955	0
39	48	0	7.35975	0	0.027	0
40	48	0	7.15625	0	0.0266473	0
41	48	0	7.01799	0	0.0267519	0
42	48	0	6.87917	0	0.0266204	0
43	48	0	6.74117	0	0.0269475	0
44	48	0	6.62079	0	0.0268174	0
45	48	0	6.50434	0	0.0269097	0
46	48	0	6.38754	0	0.0267857	0
47	48	0	6.28	0	0.026875	0
48	48	0	6.16891	0	0.0267565	0
49	48	0	6.03225	0	0.026672	0
50	48	0	5.93906	0	0.0267578	0
51	48	0	5.84931	0	0.0268405	0
52	48	0	5.76205	0	0.0267319	0
53	48	0	5.67899	0	0.0268121	0
54	48	0	5.59884	0	0.0268895	0
55	48	0	5.52357	0	0.0269643	0
56	48	0	5.41812	0	0.0268855	0
57	48	0	5.34633	0	0.0267857	0
58	48	0	5.27703	0	0.0268581	0
59	48	0	5.20961	0	0.026762	0
60	48	0	5.14463	0	0.0268325	0
61	48	0	5.08151	0	0.0267397	0
62	48	0	5.02046	0	0.0268084	0
63	48	0	4.96125	0	0.026875	0
64	48	0	4.90286	0	0.0269397	0
65	48	0	4.82352	0	0.026721	0
66	48	0	4.76979	0	0.0267857	0
67	48	0	4.71787	0	0.0268486	0
68	48	0	4.66768	0	0.026765	0
69	48	0	4.61901	0	0.0266838	0
70	48	0	4.51111	0	0.0263889	0
71	48	0	4.44623	0	0.0263373	0
72	48	0	4.40248	0	0.0262662	0
73	48	0	4.35957	0	0.0264628	0
74	48	0	4.31815	0	0.0263918	0
75	48	0	4.27762	0	0.0264523	0
76	48	0	4.23822	0	0.0263832	0
77	48	0	4.20104	0	0.0264423	0
78	48	0	4.16625	0	0.0265	0
79	48	0	4.13315	0	0.0265563	0
80	48	0	4.08171	0	0.0263862	0
81	48	0	4.00095	0	0.0261407	0
82	48	0	3.96769	0	0.0263158	0
83	48	0	3.93541	0	0.0262546	0
84	48	0	3.90349	0	0.0263097	0
85	48	0	3.8725	0	0.02625	0
86	48	0	3.8284	0	0.0260977	0
87	48	0	3.79898	0	0.0262633	0
88	48	0	3.77007	0	0.0262061	0
89	48	0	3.74197	0	0.0262587	0
90	48	0	3.71521	0	0.0263101	0
91	48	0	3.68686	0	0.0262543	0
92	48	0	4.17214	0	0.0263047	0
93	48	0	4.67698	0	0.02625	0
94	48	0	5.18977	0	0.0261964	0
95	48	0	5.65197	0	0.0261604	0
96	48	0	5.74687	0	0.0262097	0
97	48	0	5.70198	0	0.026258	0
98	48	0	5.60482	0	0.026058	0
99	48	0	5.5625	0	0.0260093	0
100	48	0	5.52106	0	0.0260577	0
101	48	0	5.46372	0	0.0260258	0
102	48	0	5.42404	0	0.0259789	0
103	48	0	5.38498	0	0.0260261	0
104	48	0	5.34671	0	0.0260725	0
105	48	0	5.30911	0	0.0260264	0
106	48	0	5.27207	0	0.0260719	0
107	48	0	5.23604	0	0.0261167	0
108	48	0	5.20036	0	0.0261607	0
109	48	0	5.16519	0	0.0261154	0
110	48	0	5.11633	0	0.0260854	0
111	48	0	5.08264	0	0.0261285	0
112	48	0	5.0495	0	0.0261708	0
113	48	0	5.01691	0	0.0262124	0
114	48	0	4.98476	0	0.0261687	0
115	48	0	4.95321	0	0.0261257	0
116	48	0	4.92217	0	0.0261667	0
117	48	0	4.87863	0	0.0260554	0
118	48	0	4.84874	0	0.026178	0
119	48	0	4.81924	0	0.0261364	0
120	48	0	4.79027	0	0.0261759	0
121	48	0	4.76167	0	0.0261349	0
122	48	0	4.73358	0	0.0262532	0
123	48	0	4.70592	0	0.0262122	0
124	48	0	4.67859	0	0.02625	0
125	48	0	4.65175	0	0.0262872	0
126	48	0	4.61394	0	0.0261824	0
127	48	0	4.58796	0	0.0262195	0
128	48	0	4.56205	0	0.0261804	0
129	48	0	4.53688	0	0.0262921	0
130	48	0	4.51208	0	0.026253	0
131	48	0	4.48756	0	0.0262885	0
132	48	0	4.46346	0	0.02625	0
133	48	0	4.42927	0	0.0262966	0
134	48	0	4.37557	0	0.0260776	0
135	48	0	4.35295	0	0.026113	0
136	48	0	4.33064	0	0.0260771	0
137	48	0	4.30863	0	0.0260417	0
138	48	0	4.28691	0	0.0261465	0
139	48	0	4.26542	0	0.0261111	0
140	48	0	4.24427	0	0.0260762	0
141	48	0	4.21417	0	0.0261214	0
142	48	0	4.19368	0	0.026087	0
143	48	0	4.17339	0	0.0261879	0
144	48	0	4.15343	0	0.0261534	0
145	48	0	4.13373	0	0.0261194	0
146	48	0	4.11421	0	0.0262182	0
147	48	0	4.095	0	0.0261842	0
148	48	0	4.06752	0	0.0261613	0
149	48	0	4.04888	0	0.0261281	0
150	48	0	4.03048	0	0.0261598	0
151	48	0	4.01223	0	0.026127	0
152	48	0	3.99427	0	0.0261583	0
153	48	0	3.97653	0	0.0261893	0
154	48	0	3.95894	0	0.0262198	0
155	48	0	3.94163	0	0.0261875	0
156	48	0	3.92452	0	0.0262798	0
157	48	0	3.8999	0	0.0261958	0
158	48	0	3.88327	0	0.0261642	0
159	48	0	3.86678	0	0.026194	0
160	48	0	3.85059	0	0.0262234	0
161	48	0	3.83448	0	0.0261922	0
162	48	0	3.81861	0	0.0262213	0
163	48	0	3.80286	0	0.02625	0
164	48	0	3.78019	0	0.0262287	0
165	48	0	3.76492	0	0.0261983	0
166	48	0	3.74977	0	0.0262266	0
167	48	0	3.73484	0	0.0262546	0
168	48	0	3.72008	0	0.0262246	0
169	48	0	3.70548	0	0.0262523	0
170	48	0	3.69098	0	0.0262797	0
171	48	0	3.65682	0	0.0261076	0
172	48	0	3.63628	0	0.0260884	0
173	48	0	3.62254	0	0.0261161	0
174	48	0	3.6089	0	0.0260879	0
175	48	0	3.59546	0	0.0261153	0
176	48	0	3.58211	0	0.0260874	0
177	48	0	3.56895	0	0.0261691	0
178	48	0	3.55592	0	0.0261413	0
179	48	0	3.53686	0	0.0260687	0
180	48	0	3.52416	0	0.0260954	0
181	48	0	3.51154	0	0.0260684	0
182	48	0	3.49915	0	0.026148	0
183	48	0	3.48678	0	0.026121	0
184	48	0	3.47459	0	0.0261469	0
185	48	0	3.46247	0	0.0261725	0
186	48	0	3.45052	0	0.0261458	0
187	48	0	3.43869	0	0.0261712	0
188	48	0	3.42128	0	0.0261532	0
189	48	0	3.40973	0	0.0261783	0
190	48	0	3.3983	0	0.0261521	0
191	48	0	3.38692	0	0.0261769	0
192	48	0	3.37576	0	0.0262015	0
193	48	0	3.36465	0	0.0262259	0
194	48	0	3.3536	0	0.0262	0
195	48	0	3.33744	0	0.0261824	0
196	48	0	3.32659	0	0.0262065	0
197	48	0	3.3159	0	0.0261811	0
198	48	0	3.3053	0	0.0262539	0
199	48	0	3.2948	0	0.0262285	0
200	48	0	3.2844	0	0.0262519	0
201	48	0	3.27405	0	0.0262751	0
202	48	0	3.26389	0	0.02625	0
203	48	0	3.25383	0	0.026273	0
204	48	0	3.23887	0	0.0262081	0
205	48	0	3.24635	0	0.0262311	0
206	48	0.375	3.28384	0	0.0262538	0
207	48	0.5	3.25439	0	0.0261117	0
208	48	0.576705	3.23986	0	0.0261812	0
209	48	0.654018	3.22546	0	0.0261574	0
210	48	0.6875	3.20646	0	0.0261414	0
211	48	0.717262	3.19236	0	0.0261639	0
212	48	0.721354	3.17838	0	0.0261405	0
213	48	0.716435	3.16452	0	0.0261628	0
214	48	0.744792	3.15078	0	0.0261397	0
215	48	0.774621	3.13716	0	0.0261617	0
216	48	0.799479	3.12365	0	0.0261388	0
217	48	0.819712	3.11027	0	0.0261607	0
218	48	0.837798	3.097	0	0.0261824	0
219	48	0.834239	3.07947	0	0.0261669	0
220	48	0.848852	3.06646	0	0.0261444	0
221	48	0.861178	3.05356	0	0.0261658	0
222	48	0.872727	3.04076	0	0.0261435	0
223	48	0.882543	3.02808	0	0.0261648	0
224	48	0.891906	3.0155	0	0.0261427	0
225	48	0.900391	3.00302	0	0.0262069	0
226	48	0.894761	2.98654	0	0.0261488	0
227	48	0.901849	2.9743	0	0.0261697	0
228	48	0.909206	2.96216	0	0.0261905	0
229	48	0.915179	2.95012	0	0.026211	0
230	48	0.921094	2.93817	0	0.0261893	0
231	48	0.926205	2.92633	0	0.0261677	0
232	48	0.931323	2.91457	0	0.0261881	0
233	48	0.936095	2.90292	0	0.0261667	0
234	48	0.940217	2.89135	0	0.0261869	0
235	48	0.932943	2.87607	0	0.0261724	0
236	48	0.937184	2.86472	0	0.0261924	0
237	48	0.940564	2.85346	0	0.0262123	0
238	48	0.944345	2.84228	0	0.026232	0
239	48	0.947917	2.83119	0	0.026211	0
240	48	0.951014	2.82019	0	0.0262306	0
241	48	0.954221	2.80927	0	0.02625	0
242	48	0.949153	2.79485	0	0.0262356	0
243	48	0.929183	2.77349	0	0.0261147	0
244	48	0.932579	2.76293	0	0.0261342	0
245	48	0.937981	2.75245	0	0.0261141	0
246	48	0.943139	2.74205	0	0.0261729	0
247	48	0.947381	2.73173	0	0.0261528	0
248	48	0.952563	2.72148	0	0.0261719	0
249	48	0.955986	2.71132	0	0.0261908	0
