#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
1	128.000000	0	0	0.00292969	0.00195312	0.00292969
2	128.000000	0	0.0419922	0.00292969	0.00195312	0
3	128.000000	0	0.0419922	0.00292969	0.00195312	0
4	128.000000	0	0.0429688	0.00292969	0.00195312	0
5	128.000000	0	0.139648	0.00292969	0.00195312	0
6	128.000000	0	0.185547	0.00292969	0.00195312	0
7	128.000000	0	0.198242	0.00292969	0.00195312	0
8	128.000000	0	0.269531	0.00292969	0.00195312	0
9	128.000000	0	0.706055	0.00292969	0.00195312	0
10	128.000000	0	1.59766	0.00292969	0.00195312	0
11	128.000000	0	2.56543	0.00292969	0.00195312	0
12	128.000000	0	3.77148	0.00292969	0.00195312	0
13	128.000000	0	4.95214	0.00292969	0.00195312	0
14	128.000000	0	4.95214	0.00292969	0.00195312	0
15	128.000000	0	5.07061	0.00292969	0.00195312	0
16	128.000000	0	5.83265	0.00292969	0.00195312	0
17	128.000000	0	4.06616	0.00292969	0.00195312	0
18	128.000000	0	4.38356	0.00292969	0.00195312	0
19	128.000000	0	4.97787	0.00292969	0.00195312	0
20	128.000000	0	5.29912	0.00292969	0.00195312	0
21	128.000000	0	5.29935	0.00292969	0.00195312	0
22	128.000000	0	5.34046	0.00292969	0.00195312	0
23	128.000000	0	5.42152	0.00292969	0.00195312	0
24	128.000000	0	4.41259	0.00292969	0.00195312	0
25	128.000000	0	5.01252	0.00292969	0.00195312	0
26	128.000000	0	3.91344	0.00292969	0.00195312	0
27	128.000000	0	1.92848	0.00292969	0.00195312	0
28	128.000000	0	2.55348	0.00292969	0.00195312	0
29	128.000000	0	5.36129	0.00292969	0.00195312	0
30	128.000000	0	4.37832	0.00292969	0.00195312	0
31	128.000000	0	5.48574	0.00292969	0.00195312	0
32	128.000000	0	6.70058	0.00292969	0.00195312	0
33	128.000000	0	9.44775	0.00292969	0.00195312	0
34	128.000000	0	9.44775	0.00292969	0.00195312	0
35	128.000000	0	9.44775	0.00292969	0.00195312	0
36	128.000000	0	9.44775	0.00292969	0.00195312	0
37	128.000000	0	9.44775	0.00292969	0.00195312	0
38	128.000000	0	4.16434	0.00292969	0.00195312	0
39	128.000000	0	4.16434	0.00292969	0.00195312	0
40	128.000000	0	4.16434	0.00292969	0.00195312	0
41	128.000000	0	4.16434	0.00292969	0.00195312	0
42	128.000000	0	4.16434	0.00292969	0.00195312	0
43	128.000000	0	4.17118	0.00292969	0.00195312	0
44	128.000000	0	4.11302	0.00292969	0.00195312	0
45	128.000000	0	4.11302	0.00292969	0.00195312	0
46	128.000000	0	4.11399	0.00292969	0.00195312	0
47	128.000000	0	4.11399	0.00292969	0.00195312	0
48	128.000000	0	4.11399	0.00292969	0.00195312	0
49	128.000000	0	4.11399	0.00292969	0.00195312	0
50	128.000000	0	4.11497	0.00292969	0.00195312	0
51	128.000000	0	4.12962	0.00292969	0.00195312	0
52	128.000000	0	4.2097	0.00292969	0.00195312	0
53	128.000000	0	4.21751	0.00292969	0.00195312	0
54	128.000000	0	4.22825	0.00292969	0.00195312	0
55	128.000000	0	4.26134	0.00292969	0.00195312	0
56	128.000000	0	4.26525	0.00292969	0.00195312	0
57	128.000000	0	4.2672	0.00292969	0.00195312	0
58	128.000000	0	4.27209	0.00292969	0.00195312	0
59	128.000000	0	4.27599	0.00292969	0.00195312	0
60	128.000000	0	4.2799	0.00292969	0.00195312	0
61	128.000000	0	4.28869	0.00292969	0.00195312	0
62	128.000000	0	4.29357	0.00292969	0.00195312	0
63	128.000000	0	4.30529	0.00292969	0.00195312	0
64	128.000000	0	4.31506	0.00292969	0.00195312	0
65	128.000000	0	4.32092	0.00292969	0.00195312	0
66	128.000000	0	4.32873	0.00292969	0.00195312	0
67	128.000000	0	4.39318	0.00292969	0.00195312	0
68	128.000000	0	4.39318	0.00292969	0.00195312	0
69	128.000000	0	4.39318	0.00292969	0.00195312	0
70	128.000000	0	4.39318	0.00292969	0.00195312	0
71	128.000000	0	4.39318	0.00292969	0.00195312	0
72	128.000000	0	4.39318	0.00292969	0.00195312	0
73	128.000000	0	4.39416	0.00292969	0.00195312	0
74	128.000000	0	4.39416	0.00292969	0.00195312	0
75	128.000000	0	4.39416	0.00292969	0.00195312	0
76	128.000000	0	4.39513	0.00292969	0.00195312	0
77	128.000000	0	4.39611	0.00292969	0.00195312	0
78	128.000000	0	4.39611	0.00292969	0.00195312	0
79	128.000000	0	4.39709	0.00292969	0.00195312	0
80	128.000000	0	4.39806	0.00292969	0.00195312	0
81	128.000000	0	4.58654	0.00292969	0.00195312	0
82	128.000000	0	4.64416	0.00292969	0.00195312	0
83	128.000000	0	4.70568	0.00292969	0.00195312	0
84	128.000000	0	4.97717	0.00292969	0.00195312	0
85	128.000000	0	4.98302	0.00292969	0.00195312	0
86	128.000000	0	5.00158	0.00292969	0.00195312	0
87	128.000000	0	5.04259	0.00292969	0.00195312	0
88	128.000000	0	5.05627	0.00292969	0.00195312	0
89	128.000000	0	5.06115	0.00292969	0.00195312	0
90	128.000000	0	5.06408	0.00292969	0.00195312	0
91	128.000000	0	5.09625	0.00292969	0.00195312	0
92	128.000000	0	5.30055	0.00292969	0.00195312	0
93	128.000000	0	5.30055	0.00292969	0.00195312	0
94	128.000000	0	5.30055	0.00292969	0.00195312	0
95	128.000000	0	5.30055	0.00292969	0.00195312	0
96	128.000000	0	5.10045	0.00292969	0.00195312	0
97	128.000000	0	5.10045	0.00292969	0.00195312	0
98	128.000000	0	5.10045	0.00292969	0.00195312	0
99	128.000000	0	5.10045	0.00292969	0.00195312	0
100	128.000000	0	5.10045	0.00292969	0.00195312	0
101	128.000000	0	5.10045	0.00292969	0.00195312	0
102	128.000000	0	5.10045	0.00292969	0.00195312	0
103	128.000000	0	5.10045	0.00292969	0.00195312	0
104	128.000000	0	5.10045	0.00292969	0.00195312	0
105	128.000000	0	5.10045	0.00292969	0.00195312	0
106	128.000000	0	5.10045	0.00292969	0.00195312	0
107	128.000000	0	5.10045	0.00292969	0.00195312	0
108	128.000000	0	5.10045	0.00292969	0.00195312	0
