#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
1	0	0	0	3.8147e-06	0	0
2	0	0	0	1.52588e-05	1.52588e-05	0
3	0	0	0	1.52588e-05	3.05176e-05	0
4	0	0	0	1.52588e-05	3.05176e-05	0
5	0	0	0.000259399	1.52588e-05	3.05176e-05	0
6	0	0	0.000259399	1.52588e-05	3.05176e-05	0
7	0	0	0.000259399	1.52588e-05	3.05176e-05	0
8	0	0	0.000259399	1.52588e-05	4.57764e-05	0
9	0	0	0.000267029	1.52588e-05	4.57764e-05	0
10	0	0	0.000267029	1.52588e-05	4.57764e-05	0
11	0	0	0.000267029	1.52588e-05	4.57764e-05	0
12	0	0	0.000267029	1.52588e-05	4.57764e-05	0
13	0	0	0.000274658	1.52588e-05	4.57764e-05	0
14	0	0	0.000274658	1.52588e-05	6.10352e-05	0
15	0	0	0.000274658	1.52588e-05	6.10352e-05	0
16	0	0	0.000274658	1.52588e-05	6.10352e-05	0
17	0	0	0.000480652	1.52588e-05	6.10352e-05	0
18	0	0	0.000595093	1.52588e-05	6.10352e-05	0
19	0	0	0.000595093	1.52588e-05	7.62939e-05	0
20	0	0	0.000595093	1.52588e-05	7.62939e-05	0
21	0	0	0.000595093	1.52588e-05	7.62939e-05	0
22	0	0	0.000595093	1.52588e-05	7.62939e-05	0
23	0	0	0.000595093	1.52588e-05	7.62939e-05	0
24	0	0	0.000896454	1.52588e-05	7.62939e-05	0
25	0	0	0.000896454	1.52588e-05	9.15527e-05	0
26	0	0	0.000896454	1.52588e-05	9.15527e-05	0
27	0	0	0.000896454	1.52588e-05	9.15527e-05	0
28	0	0	0.000896454	1.52588e-05	9.15527e-05	0
29	0	0	0.000896454	1.52588e-05	9.15527e-05	0
30	0	0	0.000904083	1.52588e-05	0.000106812	0
31	0	0	0.000904083	1.52588e-05	0.000106812	0
32	0	0	0.000904083	1.52588e-05	0.000106812	0
33	0	0	0.000904083	1.52588e-05	0.000106812	0
34	0	0	0.000904083	1.52588e-05	0.000106812	0
35	0	0	0.000904083	1.52588e-05	0.000106812	0
36	0	0	0.000904083	1.52588e-05	0.00012207	0
37	0	0	0.000904083	1.52588e-05	0.00012207	0
38	0	0	0.000999451	1.52588e-05	0.00012207	0
39	0	0	0.000999451	1.52588e-05	0.00012207	0
40	0	0	0.000999451	1.52588e-05	0.00012207	0
41	0	0	0.000999451	1.52588e-05	0.000137329	0
42	0	0	0.00190735	1.52588e-05	0.000137329	0
43	0	0	0.00190735	1.52588e-05	0.000137329	0
44	0	0	0.00190735	1.52588e-05	0.000137329	0
45	0	0	0.00190735	1.52588e-05	0.000137329	0
46	0	0	0.00190735	1.52588e-05	0.000152588	0
47	0	0	0.00190735	1.52588e-05	0.000152588	0
48	0	0	0.00190735	1.52588e-05	0.000152588	0
49	0	0	0.00190735	1.52588e-05	0.000152588	0
50	0	0	0.00190735	1.52588e-05	0.000152588	0
51	0	0	0.00190735	1.52588e-05	0.000152588	0
52	0	0	0.00190735	1.52588e-05	0.000167847	0
53	0	0	0.00190735	1.52588e-05	0.000167847	0
54	0	0	0.00190735	1.52588e-05	0.000167847	0
55	0	0	0.00190735	1.52588e-05	0.000167847	0
56	0	0	0.00190735	1.52588e-05	0.000167847	0
57	0	0	0.00190735	1.52588e-05	0.000167847	0
58	0	0	0.00190735	1.52588e-05	0.000183105	0
59	0	0	0.00190735	1.52588e-05	0.000183105	0
60	0	0	0.00190735	1.52588e-05	0.000183105	0
61	0	0	0.00190735	1.52588e-05	0.000183105	0
62	0	0	0.00190735	1.52588e-05	0.000183105	0
63	0	0	0.00190735	1.52588e-05	0.000183105	0
64	0	0	0.00190735	1.52588e-05	0.000198364	0
65	0	0	0.00190735	1.52588e-05	0.000198364	0
66	0	0	0.00190735	1.52588e-05	0.000198364	0
67	0	0	0.00190735	1.52588e-05	0.000198364	0
68	0	0	0.00190735	1.52588e-05	0.000198364	0
69	0	0	0.00190735	1.52588e-05	0.000198364	0
70	0	0	0.00190735	1.52588e-05	0.000213623	0
71	0	0	0.00190735	1.52588e-05	0.000213623	0
72	0	0	0.00190735	1.52588e-05	0.000213623	0
73	0	0	0.00190735	1.52588e-05	0.000213623	0
74	0	0	0.00190735	1.52588e-05	0.000213623	0
75	0	0	0.00190735	1.52588e-05	0.000213623	0
76	0	0	0.00190735	1.52588e-05	0.000228882	0
77	0	0	0.00190735	1.52588e-05	0.000228882	0
78	0	0	0.00190735	1.52588e-05	0.000228882	0
79	0	0	0.00190735	1.52588e-05	0.000228882	0
80	0	0	0.00190735	1.52588e-05	0.000228882	0
81	0	0	0.00191116	1.52588e-05	0.000240326	0
82	0	0	0.00191498	1.52588e-05	0.000244141	0
83	0	0	0.00191498	1.52588e-05	0.000244141	0
84	0	0	0.00191498	1.52588e-05	0.000244141	0
85	0	0	0.00191498	1.52588e-05	0.000244141	0
86	0	0	0.00191498	1.52588e-05	0.000259399	0
87	0	0	0.00192261	1.52588e-05	0.000259399	0
88	0	0	0.00192261	1.52588e-05	0.000259399	0
89	0	0	0.00192261	1.52588e-05	0.000263214	0
90	0	0	0.00192261	1.52588e-05	0.000263214	0
91	0	0	0.00192261	1.52588e-05	0.000263214	0
92	0	0	0.00192261	1.52588e-05	0.000263214	0
93	0	0	0.00192261	1.52588e-05	0.000263214	0
94	0	0	0.00192261	1.52588e-05	0.000263214	0
95	0	0	0.00192261	1.52588e-05	0.000274658	0
96	0	0	0.00192261	1.52588e-05	0.000289917	0
97	0	0	0.00192261	1.52588e-05	0.000289917	0
98	0	0	0.00192261	1.52588e-05	0.000293732	0
99	0	0	0.00192261	1.52588e-05	0.000293732	0
100	0	0	0.00192261	1.52588e-05	0.000293732	0
101	0	0	0.00192261	1.52588e-05	0.000293732	0
102	0	0	0.00192261	1.52588e-05	0.00030899	0
103	0	0	0.00192261	1.52588e-05	0.00030899	0
104	0	0	0.00192261	1.52588e-05	0.00030899	0
105	0	0	0.00192261	1.52588e-05	0.00030899	0
106	0	0	0.00192261	1.52588e-05	0.00030899	0
107	0	0	0.00192261	1.52588e-05	0.000324249	0
108	0	0	0.00192261	1.52588e-05	0.000324249	0
109	0	0	0.00192261	1.52588e-05	0.000324249	0
110	0	0	0.00192261	1.52588e-05	0.000324249	0
111	0	0	0.00192261	1.52588e-05	0.000324249	0
112	0	0	0.00192261	1.52588e-05	0.000339508	0
113	0	0	0.00192261	1.52588e-05	0.000339508	0
114	0	0	0.00192261	1.52588e-05	0.000339508	0
115	0	0	0.00192261	1.52588e-05	0.000339508	0
116	0	0	0.00192261	1.52588e-05	0.000339508	0
117	0	0	0.00192261	1.52588e-05	0.000354767	0
118	0	0	0.00192261	1.52588e-05	0.000354767	0
119	0	0	0.00192261	1.52588e-05	0.000354767	0
120	0	0	0.00192261	1.52588e-05	0.000354767	0
121	0	0	0.00192261	1.52588e-05	0.000354767	0
122	0	0	0.00192261	1.52588e-05	0.000370026	0
123	0	0	0.00192261	1.52588e-05	0.000370026	0
124	0	0	0.00192261	1.52588e-05	0.000370026	0
125	0	0	0.00192261	1.52588e-05	0.000370026	0
126	0	0	0.00192261	1.52588e-05	0.000370026	0
127	0	0	0.00192261	1.52588e-05	0.000385284	0
128	0	0	0.00193024	1.52588e-05	0.000385284	0
129	0	0	0.00193024	1.52588e-05	0.000385284	0
130	0	0	0.00193024	1.52588e-05	0.000385284	0
131	0	0	0.00193024	1.52588e-05	0.000385284	0
132	0	0	0.00193024	1.52588e-05	0.000400543	0
133	0	0	0.00193024	1.52588e-05	0.000400543	0
134	0	0	0.00193024	1.52588e-05	0.000400543	0
135	0	0	0.00193024	1.52588e-05	0.000400543	0
136	0	0	0.00193024	1.52588e-05	0.000400543	0
137	0	0	0.00193024	1.52588e-05	0.000400543	0
138	0	0	0.00193024	1.52588e-05	0.000415802	0
139	0	0	0.00193024	1.52588e-05	0.000415802	0
140	0	0	0.00193024	1.52588e-05	0.000415802	0
141	0	0	0.00193024	1.52588e-05	0.000415802	0
142	0	0	0.00193024	1.52588e-05	0.000415802	0
143	0	0	0.00193024	1.52588e-05	0.000415802	0
144	0	0	0.00193024	1.52588e-05	0.000431061	0
145	0	0	0.00193024	1.52588e-05	0.000431061	0
146	0	0	0.00193024	1.52588e-05	0.000431061	0
147	0	0	0.00193024	1.52588e-05	0.000434875	0
148	0	0	0.00193024	1.52588e-05	0.000434875	0
149	0	0	0.00193024	1.52588e-05	0.000434875	0
150	0	0	0.00193024	1.52588e-05	0.000450134	0
151	0	0	0.00193024	1.52588e-05	0.000450134	0
152	0	0	0.00193024	1.52588e-05	0.000450134	0
153	0	0	0.00193024	1.52588e-05	0.000450134	0
154	0	0	0.00193024	1.52588e-05	0.000450134	0
155	0	0	0.00193024	1.52588e-05	0.000450134	0
156	0	0	0.00193024	1.52588e-05	0.000465393	0
157	0	0	0.00193024	1.52588e-05	0.000465393	0
158	0	0	0.00193024	1.52588e-05	0.000465393	0
159	0	0	0.00193024	1.52588e-05	0.000465393	0
160	0	0	0.00193024	1.52588e-05	0.000465393	0
161	0	0	0.00193024	1.52588e-05	0.000465393	0
162	0	0	0.00193024	1.52588e-05	0.000480652	0
163	0	0	0.00193024	1.52588e-05	0.000480652	0
164	0	0	0.00193024	1.52588e-05	0.000480652	0
165	0	0	0.00193024	1.52588e-05	0.000480652	0
166	0	0	0.00193024	1.52588e-05	0.000480652	0
167	0	0	0.00193024	1.52588e-05	0.000480652	0
168	0	0	0.00193024	1.52588e-05	0.000495911	0
169	0	0	0.00193024	1.52588e-05	0.000495911	0
170	0	0	0.00193024	1.52588e-05	0.000495911	0
171	0	0	0.00193024	1.52588e-05	0.000495911	0
172	0	0	0.00193024	1.52588e-05	0.000499725	0
173	0	0	0.00193024	1.52588e-05	0.000499725	0
174	0	0	0.00193024	1.52588e-05	0.000514984	0
175	0	0	0.00193024	1.52588e-05	0.000514984	0
176	0	0	0.00193024	1.52588e-05	0.000514984	0
177	0	0	0.00193024	1.52588e-05	0.000518799	0
178	0	0	0.00193024	1.52588e-05	0.000518799	0
179	0	0	0.00193024	1.52588e-05	0.000518799	0
180	0	0	0.00193024	1.52588e-05	0.000534058	0
181	0	0	0.00193024	1.52588e-05	0.000534058	0
182	0	0	0.00193024	1.52588e-05	0.000534058	0
183	0	0	0.00193024	1.52588e-05	0.000534058	0
