#TIME	REQUESTED	python3	slurm_script	sps
1	128.000000	0	0	0.00195312
2	128.000000	0.0439453	0.00292969	0.00292969
3	128.000000	0.0439453	0.00292969	0.00292969
4	128.000000	0.0449219	0.00292969	0.00292969
5	128.000000	0.136719	0.00292969	0.00292969
6	128.000000	0.186523	0.00292969	0.00292969
7	128.000000	0.200195	0.00292969	0.00292969
8	128.000000	0.268555	0.00292969	0.00292969
9	128.000000	0.654297	0.00292969	0.00292969
10	128.000000	1.55371	0.00292969	0.00292969
11	128.000000	2.52246	0.00292969	0.00292969
12	128.000000	3.74805	0.00292969	0.00292969
13	128.000000	4.95417	0.00292969	0.00292969
14	128.000000	4.95417	0.00292969	0.00292969
15	128.000000	5.06581	0.00292969	0.00292969
16	128.000000	5.69894	0.00292969	0.00292969
17	128.000000	4.0672	0.00292969	0.00292969
18	128.000000	4.07403	0.00292969	0.00292969
19	128.000000	4.35987	0.00292969	0.00292969
20	128.000000	4.92149	0.00292969	0.00292969
21	128.000000	5.20832	0.00292969	0.00292969
22	128.000000	5.29632	0.00292969	0.00292969
23	128.000000	5.33926	0.00292969	0.00292969
24	128.000000	5.33633	0.00292969	0.00292969
25	128.000000	5.41837	0.00292969	0.00292969
26	128.000000	4.37189	0.00292969	0.00292969
27	128.000000	5.0226	0.00292969	0.00292969
28	128.000000	4.93093	0.00292969	0.00292969
29	128.000000	2.02254	0.00292969	0.00292969
30	128.000000	3.15374	0.00292969	0.00292969
31	128.000000	4.0154	0.00292969	0.00292969
32	128.000000	5.11035	0.00292969	0.00292969
33	128.000000	6.27441	0.00292969	0.00292969
34	128.000000	9.44346	0.00292969	0.00292969
35	128.000000	9.44346	0.00292969	0.00292969
36	128.000000	9.44346	0.00292969	0.00292969
37	128.000000	9.44346	0.00292969	0.00292969
38	128.000000	9.44346	0.00292969	0.00292969
39	128.000000	9.60632	0.00292969	0.00292969
40	128.000000	4.1773	0.00292969	0.00292969
41	128.000000	4.1773	0.00292969	0.00292969
42	128.000000	4.1773	0.00292969	0.00292969
43	128.000000	4.1773	0.00292969	0.00292969
44	128.000000	4.18414	0.00292969	0.00292969
45	128.000000	4.10884	0.00292969	0.00292969
46	128.000000	4.10884	0.00292969	0.00292969
47	128.000000	4.10884	0.00292969	0.00292969
48	128.000000	4.1108	0.00292969	0.00292969
49	128.000000	4.11177	0.00292969	0.00292969
50	128.000000	4.11177	0.00292969	0.00292969
51	128.000000	4.13619	0.00292969	0.00292969
52	128.000000	4.17232	0.00292969	0.00292969
53	128.000000	4.18013	0.00292969	0.00292969
54	128.000000	4.19185	0.00292969	0.00292969
55	128.000000	4.22293	0.00292969	0.00292969
56	128.000000	4.22488	0.00292969	0.00292969
57	128.000000	4.23074	0.00292969	0.00292969
