#TIME	REQUESTED	python3	slurm_script	sps
1	0	0	0	0
2	0	5.72205e-05	1.52588e-05	1.52588e-05
3	0	5.72205e-05	1.52588e-05	3.05176e-05
4	0	5.72205e-05	1.52588e-05	3.05176e-05
5	0	0.00031662	1.52588e-05	3.05176e-05
6	0	0.00031662	1.52588e-05	3.05176e-05
7	0	0.00031662	1.52588e-05	3.05176e-05
8	0	0.00031662	1.52588e-05	4.57764e-05
9	0	0.000324249	1.52588e-05	4.57764e-05
10	0	0.000324249	1.52588e-05	4.57764e-05
11	0	0.000324249	1.52588e-05	4.57764e-05
12	0	0.000324249	1.52588e-05	4.57764e-05
13	0	0.000331879	1.52588e-05	4.57764e-05
14	0	0.000331879	1.52588e-05	6.10352e-05
15	0	0.000331879	1.52588e-05	6.10352e-05
16	0	0.000331879	1.52588e-05	6.10352e-05
17	0	0.000331879	1.52588e-05	6.10352e-05
18	0	0.000537872	1.52588e-05	6.10352e-05
19	0	0.000656128	1.52588e-05	7.62939e-05
20	0	0.000656128	1.52588e-05	7.62939e-05
21	0	0.000656128	1.52588e-05	7.62939e-05
22	0	0.000656128	1.52588e-05	7.62939e-05
23	0	0.000656128	1.52588e-05	7.62939e-05
24	0	0.000656128	1.52588e-05	7.62939e-05
25	0	0.000656128	1.52588e-05	7.62939e-05
26	0	0.000953674	1.52588e-05	7.62939e-05
27	0	0.000953674	1.52588e-05	7.62939e-05
28	0	0.000953674	1.52588e-05	7.62939e-05
29	0	0.000953674	1.52588e-05	8.01086e-05
30	0	0.000953674	1.52588e-05	9.53674e-05
31	0	0.000957489	1.52588e-05	9.53674e-05
32	0	0.000957489	1.52588e-05	9.53674e-05
33	0	0.000957489	1.52588e-05	9.53674e-05
34	0	0.000957489	1.52588e-05	9.53674e-05
35	0	0.000957489	1.52588e-05	0.000110626
36	0	0.000957489	1.52588e-05	0.000110626
37	0	0.000957489	1.52588e-05	0.000110626
38	0	0.000957489	1.52588e-05	0.000110626
39	0	0.000957489	1.52588e-05	0.000110626
40	0	0.00105286	1.52588e-05	0.000125885
41	0	0.00105286	1.52588e-05	0.000125885
42	0	0.00105286	1.52588e-05	0.000125885
43	0	0.00105286	1.52588e-05	0.000125885
44	0	0.00195694	1.52588e-05	0.000125885
45	0	0.00195694	1.52588e-05	0.000125885
46	0	0.00195694	1.52588e-05	0.000141144
47	0	0.00195694	1.52588e-05	0.000141144
48	0	0.00195694	1.52588e-05	0.000141144
49	0	0.00195694	1.52588e-05	0.000141144
50	0	0.00195694	1.52588e-05	0.000141144
51	0	0.00195694	1.52588e-05	0.000141144
52	0	0.00195694	1.52588e-05	0.000156403
53	0	0.00195694	1.52588e-05	0.000156403
54	0	0.00195694	1.52588e-05	0.000156403
55	0	0.00195694	1.52588e-05	0.000156403
56	0	0.00195694	1.52588e-05	0.000156403
57	0	0.00195694	1.52588e-05	0.000156403
58	0	0.00195694	1.52588e-05	0.000171661
59	0	0.00195694	1.52588e-05	0.000171661
60	0	0.00195694	1.52588e-05	0.000171661
61	0	0.00195694	1.52588e-05	0.000171661
62	0	0.00195694	1.52588e-05	0.000171661
63	0	0.00195694	1.52588e-05	0.000171661
64	0	0.00195694	1.52588e-05	0.000171661
65	0	0.00195694	1.52588e-05	0.000183105
66	0	0.00195694	1.52588e-05	0.00018692
67	0	0.00195694	1.52588e-05	0.00018692
68	0	0.00195694	1.52588e-05	0.000202179
69	0	0.00195694	1.52588e-05	0.000202179
70	0	0.00195694	1.52588e-05	0.000202179
