NTR family;Name;Uniprot;Gene_name;Intrinsic motif;Adaptor;Domain;Type;In the list;Construct_name;;;;;;;
C-type lectin family;CLEC12A (MICL);Q5QGZ9;;1 ITIM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;CLEC12B;Q2HXU8;;1 ITIM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;CLEC1A;Q8NC01;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;CLEC1B;Q9P126;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;CLEC4A;Q9UMR7;;1 ITIM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;Dectin-1 (CLEC7A);Q96PA5;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;Oxidized low-density lipoprotein receptor 1 (CLEC8A);P78380;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;DNGR-1 (CLEC9A);Q6UXN8;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
Killer cell lectin-like receptor subfamily;Killer cell lectin-like receptor subfamily B member 1 (KLRB1, CLEC5B, CD161);Q12918;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
Killer cell lectin-like receptor subfamily;Killer cell lectin-like receptor subfamily F member 1 (KLRF1, CLEC5C, NKp80);Q9NZS2;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
Killer cell lectin-like receptor subfamily;Killer cell lectin-like receptor subfamily F member 2 (KLRF2, NKp65);D3W0D1;;1 hemiTAM;;1 C-type lectin;type II;Yes;;;;;;;;
Killer cell lectin-like receptor subfamily;Killer cell lectin-like receptor subfamily G member 1 (KLRG1, CLEC15a, MAFA);Q96E93;;1 ITIM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;NKG2A/B (KLRC1);P26715;;2 ITIM;;1 C-type lectin;type II;Yes;;;;;;;;
C-type lectin family;CD72;P21854;;1 ITIM, 1 hemiTAM ?;;1 C-type lectin;type II;Yes;;;;;;;;
CD300 family;CD300a;Q9UGN4;;4 ITIM;;1 Ig;type I;Yes;;;;;;;;
CD300 family;CD300f;Q8TDQ1;;3 ITIM;;1 Ig;type I;Yes;;;;;;;;
Fc receptor-like family;Fc receptor-like protein 1;Q96LA6;;3 ITTM;;3 Ig;type I;Yes;;;;;;;;
Fc receptor-like family;Fc receptor-like protein 2;Q96LA5;;1 ITTM, 2 ITIM;;4 Ig;type I;Yes;;;;;;;;
Fc receptor-like family;Fc receptor-like protein 3;Q96P31;;1 ITAM, 1 ITIM, 1 ITTM;;6 Ig;type I;Yes;;;;;;;;
Fc receptor-like family;Fc receptor-like protein 4;Q96PJ5;;3 ITIM;;4 Ig;type I;Yes;;;;;;;;
Fc receptor-like family;Fc receptor-like protein 5;Q96RD9;;2 ITTM, 2 ITIM;;8 Ig;type I;Yes;;;;;;;;
Fc receptor-like family;Fc receptor-like protein 6;Q6DN72;;1 ITTM, 1 ITIM;;3 Ig;type I;Yes;;;;;;;;
Classical Fc receptor family;Fc?RIIa (CD32a);P12318;;1 ITAM;;2 Ig;type I;Yes;;;;;;;;
Classical Fc receptor family;Fc?RIIb (CD32b);P31994;;1 ITIM;;2 Ig;type I;Yes;;;;;;;;
Classical Fc receptor family;Fc?RIIc (CD32c);P31995;;1 ITAM;;2 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR2DL1;P43626;;2 ITIM;;2 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR2DL2;P43627;;2 ITIM;;2 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR2DL3;P43628;;2 ITIM;;2 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR2DL4;Q99706;;1 ITIM;;2 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR2DL5;Q8N109;;2 ITIM;;2 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR3DL1;P43629;;2 ITIM;;3 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR3DL2;P43630;;2 ITIM;;3 Ig;type I;Yes;;;;;;;;
Killer cell immunoglobulin-like receptor family;KIR3DL3;Q8N743;;1 ITIM;;3 Ig;type I;Yes;;;;;;;;
Leukocyte immunoglobulin-like receptor family;LILRB1;Q8NHL6;;4 ITIM;;4 Ig;type I;Yes;;;;;;;;
Leukocyte immunoglobulin-like receptor family;LILRB2;Q8N423;;3 ITIM;;4 Ig;type I;Yes;;;;;;;;
Leukocyte immunoglobulin-like receptor family;LILRB3;O75022;;3 ITIM;;4 Ig;type I;Yes;;;;;;;;
Leukocyte immunoglobulin-like receptor family;LILRB4;Q8NHJ6;;3 ITIM;;2 Ig;type I;Yes;;;;;;;;
Leukocyte immunoglobulin-like receptor family;LILRB5;O75023;;2 ITIM;;4 Ig;type I;Yes;;;;;;;;
Natural cytotoxicity triggering receptor family;NKp44, NCR2, CD336;O95944;;1 ITIM;DAP12;1 Ig;type I;Yes;;;;;;;;
Paired immunoglobulin-like receptor family;PILR A;Q9UKJ1;;1 ITTM, 1 ITIM, 1 ITSM;;1 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;CD22 (SIGLEC-2);P20273;;4 ITIM;;7 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;CD33 (SIGLEC-3);P20138;;1 ITIM, 1 ITSM;;2 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-5;O15389;;1 ITIM, 1 ITSM;;3 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-6;O43699;;1 ITIM, 1 ITSM;;3 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-7;Q9Y286;;1 ITIM;;3 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-8;Q9NYZ4;;2 ITIM;;3 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-9;Q9Y336;;1 ITIM, 1 ITSM;;3 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-10;Q96LC7;;2 ITIM;;4 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-11;Q96RL6;;1 ITIM, 1 ITSM;;4 Ig;type I;Yes;;;;;;;;
Sialic acid-binding Ig-like lectin family;SIGLEC-12;Q96PQ1;;1 ITIM;;4 Ig;type I;Yes;;;;;;;;
Signaling lymphocytic activation molecule family;SLAMF1;Q13291;;2 ITSM;;2 Ig;type I;Yes;;;;;;;;
Signaling lymphocytic activation molecule family;Ly9 (SLAMF3);Q9HBG7;;3 ITSM;;4 Ig;type I;Yes;;;;;;;;
Signaling lymphocytic activation molecule family;2B4 (SLAMF4);Q9BZW8;;4 ITSM;;2 Ig;type I;Yes;;;;;;;;
Signaling lymphocytic activation molecule family;SLAMF5;Q9UIB8;;2 ITSM, 1 ITIM;;2 Ig;type I;Yes;;;;;;;;
Signaling lymphocytic activation molecule family;SLAMF6;Q96DU3;;2 ITSM, 1 ITIM;;2 Ig;type I;Yes;;;;;;;;
Signaling lymphocytic activation molecule family;SLAMF7 (CRACC);Q9NQ25;;2 ITSM;;2 Ig;type I;Yes;;;;;;;;
CD28 family;CD28;Q9BYV0;;1 ITTM;;1 Ig;type I;Yes;;;;;;;;
CD28 family;CTLA-4;P16410;CTLA4;1 ITTM;;1 Ig;type I;Yes;;;;;;;;
CD28 family;ICOS;Q9Y6W8;;1 ITTM;;1 Ig;type I;Yes;;;;;;;;
CD28 family;PD-1;Q15116;PDCD1;1 ITIM, 1 ITSM;;1 Ig;type I;Yes;;;;;;;;
CD28 family;CD28H (Transmembrane and immunoglobulin domain-containing protein 2);Q96BF3;;1 ITTM, 2 non-classical motifs;;1 Ig;type I;Yes;(could not produce);;;;;;;
CD28 family;BTLA;Q7Z6A9;BTLA;2 ITIM;;1 Ig;type I;Yes;;;;;;;;
CD200R family;CD200R1;Q8TD46;;non-classical inhibitory motif;;2 Ig;type I;Yes;;;;;;;;
Signal-regulatory protein family;SIRP?;P78324;;3 ITIM, 1 ITSM;;3 Ig;type I;Yes;;;;;;;;
CD5 family;CD5;P06127;;1 ITIM, 1 non-classical;;3 SRCR;type I;Yes;;;;;;;;
CD5 family;CD6;P30203;;non-classical activation motifs;;3 SRCR;typeI;Yes;;;;;;;;
